#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated with AlterBBN v1.4 [http://superiso.in2p3.fr/relic/alterbbn/] for a 
#neutron lifetime of 880.1 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes

#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err D/H       He3/H    err He3/H         Li7      sig Li7
 
     0.00500      1.36835     -3.00000      0.17612      0.17716      0.00011    1.583e-04     1.98e-06   2.293e-05     4.97e-07   8.755e-11     3.94e-11
     0.00600      1.64174     -3.00000      0.17864      0.17969      0.00011    1.193e-04     1.38e-06   2.010e-05     5.17e-07   7.526e-11     2.70e-11
     0.00700      1.91540     -3.00000      0.18060      0.18166      0.00011    9.408e-05     1.19e-06   1.800e-05     5.07e-07   7.508e-11     1.99e-11
     0.00800      2.18906     -3.00000      0.18220      0.18327      0.00011    7.668e-05     9.99e-07   1.637e-05     5.06e-07   8.313e-11     1.56e-11
     0.00900      2.46272     -3.00000      0.18354      0.18462      0.00011    6.405e-05     8.49e-07   1.508e-05     5.03e-07   9.759e-11     1.28e-11
     0.01000      2.73639     -3.00000      0.18471      0.18579      0.00011    5.454e-05     7.27e-07   1.404e-05     4.97e-07   1.174e-10     1.18e-11
     0.01100      3.01005     -3.00000      0.18573      0.18681      0.00011    4.714e-05     6.67e-07   1.317e-05     4.91e-07   1.419e-10     1.18e-11
     0.01200      3.28371     -3.00000      0.18664      0.18773      0.00011    4.124e-05     6.09e-07   1.244e-05     4.82e-07   1.703e-10     1.27e-11
     0.01300      3.55738     -3.00000      0.18746      0.18855      0.00011    3.645e-05     5.74e-07   1.181e-05     4.76e-07   2.023e-10     1.47e-11
     0.01400      3.83105     -3.00000      0.18821      0.18931      0.00011    3.248e-05     5.40e-07   1.128e-05     4.65e-07   2.373e-10     1.72e-11
     0.01500      4.10472     -3.00000      0.18890      0.19000      0.00011    2.914e-05     4.32e-07   1.081e-05     4.59e-07   2.748e-10     1.95e-11
     0.01600      4.37839     -3.00000      0.18954      0.19064      0.00011    2.630e-05     4.17e-07   1.039e-05     4.52e-07   3.145e-10     2.24e-11
     0.01700      4.65206     -3.00000      0.19013      0.19124      0.00011    2.386e-05     4.05e-07   1.003e-05     4.44e-07   3.559e-10     2.53e-11
     0.01800      4.92573     -3.00000      0.19069      0.19179      0.00011    2.174e-05     3.65e-07   9.698e-06     4.36e-07   3.986e-10     2.86e-11
     0.01900      5.19940     -3.00000      0.19121      0.19232      0.00011    1.989e-05     3.59e-07   9.403e-06     4.28e-07   4.423e-10     3.16e-11
     0.02000      5.47307     -3.00000      0.19170      0.19281      0.00011    1.825e-05     3.50e-07   9.135e-06     4.22e-07   4.868e-10     3.48e-11
     0.02025      5.54150     -3.00000      0.19181      0.19293      0.00011    1.788e-05     3.54e-07   9.072e-06     4.21e-07   4.980e-10     3.56e-11
     0.02050      5.60992     -3.00000      0.19193      0.19304      0.00011    1.751e-05     3.63e-07   9.011e-06     4.20e-07   5.093e-10     3.64e-11
     0.02075      5.67834     -3.00000      0.19205      0.19316      0.00011    1.715e-05     3.65e-07   8.951e-06     4.18e-07   5.205e-10     3.72e-11
     0.02100      5.74676     -3.00000      0.19216      0.19327      0.00011    1.681e-05     3.63e-07   8.892e-06     4.16e-07   5.318e-10     3.80e-11
     0.02125      5.81518     -3.00000      0.19227      0.19339      0.00011    1.647e-05     3.82e-07   8.834e-06     4.14e-07   5.431e-10     3.89e-11
     0.02150      5.88360     -3.00000      0.19238      0.19350      0.00011    1.614e-05     4.32e-07   8.778e-06     4.11e-07   5.544e-10     3.97e-11
     0.02175      5.95202     -3.00000      0.19249      0.19360      0.00011    1.582e-05     4.02e-07   8.723e-06     4.09e-07   5.657e-10     4.05e-11
     0.02200      6.02043     -3.00000      0.19260      0.19371      0.00011    1.551e-05     3.61e-07   8.669e-06     4.11e-07   5.770e-10     4.13e-11
     0.02225      6.08885     -3.00000      0.19271      0.19382      0.00011    1.521e-05     3.63e-07   8.617e-06     4.10e-07   5.883e-10     4.21e-11
     0.02250      6.15727     -3.00000      0.19281      0.19393      0.00011    1.492e-05     3.29e-07   8.565e-06     4.09e-07   5.996e-10     4.29e-11
     0.02275      6.22569     -3.00000      0.19291      0.19403      0.00011    1.463e-05     3.18e-07   8.515e-06     4.06e-07   6.110e-10     4.37e-11
     0.02300      6.29411     -3.00000      0.19302      0.19413      0.00011    1.435e-05     3.12e-07   8.465e-06     4.03e-07   6.223e-10     4.44e-11
     0.02325      6.36253     -3.00000      0.19312      0.19423      0.00011    1.408e-05     3.14e-07   8.417e-06     4.01e-07   6.336e-10     4.53e-11
     0.02350      6.43095     -3.00000      0.19322      0.19434      0.00011    1.382e-05     3.11e-07   8.369e-06     4.01e-07   6.449e-10     4.61e-11
     0.02375      6.49937     -3.00000      0.19332      0.19443      0.00011    1.356e-05     3.05e-07   8.322e-06     3.98e-07   6.562e-10     4.68e-11
     0.02400      6.56779     -3.00000      0.19342      0.19453      0.00011    1.331e-05     2.97e-07   8.277e-06     3.98e-07   6.675e-10     4.77e-11
     0.02500      6.84145     -3.00000      0.19380      0.19492      0.00011    1.237e-05     3.03e-07   8.102e-06     3.94e-07   7.124e-10     5.08e-11
     0.02600      7.11513     -3.00000      0.19416      0.19528      0.00011    1.151e-05     2.96e-07   7.941e-06     3.89e-07   7.570e-10     5.39e-11
     0.02700      7.38880     -3.00000      0.19451      0.19563      0.00011    1.073e-05     2.92e-07   7.790e-06     3.85e-07   8.013e-10     5.70e-11
     0.02800      7.66248     -3.00000      0.19484      0.19597      0.00011    1.002e-05     2.76e-07   7.649e-06     3.79e-07   8.450e-10     6.00e-11
     0.02900      7.93616     -3.00000      0.19517      0.19629      0.00011    9.364e-06     2.69e-07   7.517e-06     3.74e-07   8.882e-10     6.29e-11
     0.03000      8.20984     -3.00000      0.19548      0.19661      0.00011    8.764e-06     2.60e-07   7.393e-06     3.71e-07   9.309e-10     6.59e-11
     0.03100      8.48352     -3.00000      0.19578      0.19691      0.00011    8.212e-06     2.46e-07   7.277e-06     3.66e-07   9.729e-10     6.87e-11
     0.03200      8.75720     -3.00000      0.19607      0.19720      0.00011    7.703e-06     2.45e-07   7.167e-06     3.61e-07   1.014e-09     7.16e-11
     0.03300      9.03088     -3.00000      0.19635      0.19748      0.00011    7.232e-06     2.43e-07   7.063e-06     3.57e-07   1.055e-09     7.45e-11
     0.03400      9.30456     -3.00000      0.19662      0.19775      0.00011    6.796e-06     2.25e-07   6.965e-06     3.52e-07   1.095e-09     7.72e-11
     0.03500      9.57825     -3.00000      0.19688      0.19802      0.00011    6.391e-06     2.24e-07   6.872e-06     3.50e-07   1.135e-09     7.97e-11
     0.03600      9.85193     -3.00000      0.19714      0.19827      0.00011    6.015e-06     2.13e-07   6.783e-06     3.46e-07   1.174e-09     8.24e-11
     0.03700     10.12561     -3.00000      0.19739      0.19852      0.00011    5.665e-06     2.00e-07   6.699e-06     3.40e-07   1.212e-09     8.52e-11
     0.03800     10.39930     -3.00000      0.19763      0.19876      0.00011    5.339e-06     1.98e-07   6.619e-06     3.37e-07   1.250e-09     8.77e-11
     0.03900     10.67298     -3.00000      0.19786      0.19900      0.00011    5.035e-06     1.97e-07   6.542e-06     3.34e-07   1.287e-09     9.04e-11
     0.04000     10.94667     -3.00000      0.19809      0.19923      0.00011    4.750e-06     1.86e-07   6.469e-06     3.31e-07   1.323e-09     9.25e-11

     0.00500      1.36835     -2.00000      0.19614      0.19727      0.00011    1.959e-04     2.27e-06   2.504e-05     4.88e-07   1.226e-10     6.10e-11
     0.00600      1.64198     -2.00000      0.19886      0.20000      0.00011    1.468e-04     1.80e-06   2.194e-05     5.01e-07   9.583e-11     4.13e-11
     0.00700      1.91568     -2.00000      0.20095      0.20210      0.00011    1.152e-04     1.44e-06   1.964e-05     5.03e-07   8.594e-11     3.00e-11
     0.00800      2.18938     -2.00000      0.20264      0.20380      0.00011    9.356e-05     1.25e-06   1.785e-05     5.12e-07   8.641e-11     2.29e-11
     0.00900      2.46308     -2.00000      0.20406      0.20522      0.00011    7.797e-05     9.91e-07   1.642e-05     5.05e-07   9.434e-11     1.80e-11
     0.01000      2.73679     -2.00000      0.20527      0.20644      0.00011    6.629e-05     9.16e-07   1.526e-05     5.06e-07   1.082e-10     1.53e-11
     0.01100      3.01049     -2.00000      0.20633      0.20750      0.00011    5.725e-05     7.71e-07   1.429e-05     5.00e-07   1.271e-10     1.33e-11
     0.01200      3.28420     -2.00000      0.20727      0.20845      0.00011    5.008e-05     7.19e-07   1.347e-05     4.95e-07   1.504e-10     1.30e-11
     0.01300      3.55791     -2.00000      0.20812      0.20930      0.00011    4.427e-05     6.05e-07   1.277e-05     4.86e-07   1.776e-10     1.38e-11
     0.01400      3.83161     -2.00000      0.20889      0.21008      0.00011    3.947e-05     6.24e-07   1.217e-05     4.78e-07   2.083e-10     1.54e-11
     0.01500      4.10532     -2.00000      0.20960      0.21079      0.00011    3.545e-05     5.00e-07   1.165e-05     4.72e-07   2.419e-10     1.75e-11
     0.01600      4.37903     -2.00000      0.21025      0.21144      0.00011    3.204e-05     4.66e-07   1.118e-05     4.64e-07   2.781e-10     1.99e-11
     0.01700      4.65275     -2.00000      0.21086      0.21205      0.00011    2.912e-05     4.32e-07   1.077e-05     4.58e-07   3.166e-10     2.25e-11
     0.01800      4.92646     -2.00000      0.21142      0.21261      0.00011    2.659e-05     4.31e-07   1.041e-05     4.52e-07   3.571e-10     2.54e-11
     0.01900      5.20017     -2.00000      0.21195      0.21315      0.00011    2.437e-05     4.35e-07   1.008e-05     4.45e-07   3.991e-10     2.86e-11
     0.02000      5.47389     -2.00000      0.21245      0.21365      0.00011    2.242e-05     4.43e-07   9.779e-06     4.39e-07   4.424e-10     3.17e-11
     0.02025      5.54233     -2.00000      0.21257      0.21377      0.00011    2.197e-05     4.50e-07   9.709e-06     4.38e-07   4.534e-10     3.26e-11
     0.02050      5.61076     -2.00000      0.21269      0.21389      0.00011    2.153e-05     4.53e-07   9.641e-06     4.36e-07   4.644e-10     3.33e-11
     0.02075      5.67919     -2.00000      0.21280      0.21400      0.00011    2.111e-05     4.12e-07   9.574e-06     4.35e-07   4.755e-10     3.40e-11
     0.02100      5.74761     -2.00000      0.21292      0.21412      0.00011    2.069e-05     4.08e-07   9.508e-06     4.33e-07   4.867e-10     3.47e-11
     0.02125      5.81604     -2.00000      0.21303      0.21423      0.00011    2.029e-05     4.15e-07   9.444e-06     4.29e-07   4.979e-10     3.56e-11
